Population,MedianIncome,RegionName,year,state_fip,_last_synced_
35688,79061,36532,2021,1,2023-12-02 16:47:54
36605,56426,36535,2021,1,2023-12-02 16:47:54
15048,66840,36541,2021,1,2023-12-02 16:47:54
16699,53327,36542,2021,1,2023-12-02 16:47:54
12049,46828,36544,2021,1,2023-12-02 16:47:54
9006,47997,36545,2021,1,2023-12-02 16:47:54
5759,55714,36549,2021,1,2023-12-02 16:47:54
12635,59395,36551,2021,1,2023-12-02 16:47:54
3969,51895,36558,2021,1,2023-12-02 16:47:54
2936,37972,36560,2021,1,2023-12-02 16:47:54
8801,85694,36561,2021,1,2023-12-02 16:47:54
1404,34096,36562,2021,1,2023-12-02 16:47:54
14005,57217,36567,2021,1,2023-12-02 16:47:54
16543,60998,36571,2021,1,2023-12-02 16:47:54
6725,88241,36572,2021,1,2023-12-02 16:47:54
22027,63531,36575,2021,1,2023-12-02 16:47:54
4285,60063,36576,2021,1,2023-12-02 16:47:54
1215,85341,36578,2021,1,2023-12-02 16:47:54
1252,59189,36579,2021,1,2023-12-02 16:47:54
5919,46845,36580,2021,1,2023-12-02 16:47:54
24274,56658,36582,2021,1,2023-12-02 16:47:54
12279,55210,36587,2021,1,2023-12-02 16:47:54
861,23750,36602,2021,1,2023-12-02 16:47:54
8438,24754,36603,2021,1,2023-12-02 16:47:54
9158,49927,36604,2021,1,2023-12-02 16:47:54
26830,38503,36605,2021,1,2023-12-02 16:47:54
18697,44662,36606,2021,1,2023-12-02 16:47:54
6004,38520,36607,2021,1,2023-12-02 16:47:54
35268,53217,36608,2021,1,2023-12-02 16:47:54
23413,41851,36609,2021,1,2023-12-02 16:47:54
9948,25805,36610,2021,1,2023-12-02 16:47:54
6421,36196,36611,2021,1,2023-12-02 16:47:54
4208,30388,36612,2021,1,2023-12-02 16:47:54
12659,43137,36613,2021,1,2023-12-02 16:47:54
12409,38067,36617,2021,1,2023-12-02 16:47:54
18204,46800,36618,2021,1,2023-12-02 16:47:54
15334,50146,36619,2021,1,2023-12-02 16:47:54
19528,64619,36693,2021,1,2023-12-02 16:47:54
